lat,lon,speed (m/s),heading (degrees),altitude (m),road_type
12.937454011884736,77.53702658576772,7.851170512077179,20.63171160377525,918,service_road
12.995071430640992,77.60838018947567,7.409363972159994,62.852346448987106,924,service_road
12.97319939418114,77.67458916717528,27.1876374156311,95.04619024607696,904,highway
12.959865848419703,77.64644497728192,7.486385995485183,256.2400601967418,907,service_road
12.915601864044245,77.66131222957229,8.15849178385893,323.4078990603595,906,service_road
12.91559945203362,77.63175667334214,22.78194787253891,209.76701275964982,913,service_road
12.90580836121682,77.63845531290357,13.4921952735162,44.67865237695986,923,service_road
12.986617614577494,77.66983913031306,23.301316708655435,95.07082424060266,922,highway
12.960111501174321,77.54993360177184,1.9609847269315572,259.6076486484565,902,service_road
12.970807257779605,77.59788499272862,14.62713581020153,99.85174555090674,917,highway
12.90205844942958,77.54424188836393,1.008408005498479,118.21877986197792,915,service_road
12.996990985216199,77.69753360159933,1.8795961036606357,94.34361498141217,922,highway
12.983244264080042,77.68881186793733,27.193123600332328,94.46441921796549,918,highway
12.921233911067828,77.5078853622737,4.177361133527855,89.57484972717548,918,service_road
12.91818249672071,77.64111503450314,15.972620468256514,146.84025906262082,917,service_road
12.918340450985344,77.68504966348314,12.332868078021196,95.00710925836671,919,highway
12.930424224295955,77.53611506902547,10.42029978776528,49.093317888323696,915,service_road
12.952475643163224,77.61358904611053,26.995000370618175,262.08441280663106,907,service_road
12.943194501864212,77.68309765951761,0.654701903264685,292.7331558604746,927,service_road
12.929122914019805,77.50678919571716,19.913690585267673,92.78938076073477,900,highway
12.961185289472239,77.63948405344937,28.901833026406514,278.7910180582692,916,service_road
12.913949386065205,77.5594698014745,16.805045503855258,138.79928318447298,911,service_road
12.929214464853523,77.68487923907531,28.104673860992754,182.406884707441,929,service_road
12.93663618432937,77.69421164903308,1.567736378580713,95.23600547152611,920,highway
12.945606998421704,77.68885329782269,12.563799572224841,269.9833254488668,910,service_road
12.978517596139302,77.59484284333149,7.804733728861535,94.70950058772515,904,highway
12.919967378215837,77.67240853019787,21.924628949421894,49.26425997108845,926,service_road
12.951423443841362,77.66890987970702,29.4389127149174,91.95008980438615,911,highway
12.959241456886204,77.56382009464865,7.6959018733274345,321.62570247167537,916,service_road
12.904645041272,77.66578309483013,19.625238044222233,139.62033704559397,905,service_road
12.960754485190144,77.5074015269431,5.942928982792203,97.9146354088952,900,highway
12.91705241236873,77.61925397569641,16.959907637148298,96.02469830703456,904,highway
12.90650515929853,77.54600176745754,13.917974600650085,95.11638582519014,924,highway
12.994888553725334,77.52411337715546,29.16015988894611,310.49626388338834,927,service_road
12.996563203307456,77.51539064032585,18.255818180893996,113.75897080508184,913,service_road
12.980839734811646,77.63925775517563,10.485191162604563,306.79646083260263,904,service_road
12.930461376917338,77.56797499275362,3.422873546638001,14.736219974764339,921,service_road
12.909767211400638,77.64495335430576,4.537404862048037,91.3508014622576,923,highway
12.968423302651216,77.51307126815979,6.759507898537053,224.4669102626956,926,service_road
12.94401524937396,77.56305806756612,7.5289998402089395,22.718292881596646,900,service_road
12.912203823484479,77.60789825847507,25.518481735234133,116.85930066365815,929,service_road
12.949517691011128,77.65814463296779,16.83668364847575,242.19215504889263,917,service_road
12.903438852111522,77.56375050058641,15.701727341230994,121.41608257952147,915,service_road
12.990932040207879,77.62517827528741,3.443066156076524,64.65592131843454,908,service_road
12.925877998160002,77.67719554964724,25.80419080048305,101.28622386738299,918,service_road
12.966252228435398,77.62317263763646,21.68442909625451,91.43395370010893,921,highway
12.931171107608941,77.54659189495072,2.0300508570000475,171.13890792797366,904,service_road
12.952006802117781,77.5048801563113,21.23505291689306,281.88008328499274,926,service_road
12.954671027934328,77.67401977478019,16.30614652027938,270.0551625953445,901,service_road
12.918485445552554,77.50425388217008,2.4517603724033474,164.45440964020867,929,service_road
12.996958462776456,77.67494033453684,13.749019245859694,96.61140678428697,914,highway
12.977513282336112,77.60578742680545,14.540888613901409,96.52235353132441,906,highway
12.993949894156419,77.68781353970259,4.973236204898273,92.51080103665167,903,highway
12.989482735042765,77.65975664715474,28.37094441000847,96.50425248823865,900,highway
